time	0h	0h	0h	4h	4h	4h	12h	12h	12h	12h	24h	24h	24h
2-ketoisocaproic acid	0.817025429	0.206013974	0.777090988	0.772317875	0.25857995	0.745670318	0.872772943	0.244360293	0.691548501	0.375472517	0.558976771	0.179234456	0.310416184
2-hydroxyvaleric acid	0.870206604	0.940746826	0.696769604	0.916647622	0.542853048	0.911989292	0.770832667	0.432316978	0.719108694	0.869720891	0.122684242	0.072242403	0.673865304
2-hydroxyglutaric acid	0.607977269	0.339408952	0.470432427	0.178736024	0.562559522	0.82394246	0.785277213	0.454609624	0.45284092	0.312075844	0.927565039	0.166731805	0.033593717
2-hydroxybutanoic acid	0.205684633	0.610650543	0.396223668	0.612704075	0.50523352	0.570771209	0.000270784	0.289905762	0.829066221	0.628729366	0.118685658	0.229201915	0.377324348
2-deoxytetronic acid	0.206039725	0.059911431	0.946718759	0.387248136	0.9161946	0.880805581	0.266313143	0.733251137	0.048823121	0.652042363	0.794554594	0.167680031	0.625716671
2-deoxypentitol NIST	0.361950555	0.62682371	0.136672768	0.460509581	0.515181234	0.145569615	0.39548181	0.959241479	0.707607278	0.300448134	0.231057014	0.496513203	0.947735556
2,5-dihydroxypyrazine NIST	0.287972874	0.514731865	0.646026042	0.969018139	0.583356514	0.905630663	0.261405739	0.70094759	0.665483503	0.690187463	0.649658976	0.073194461	0.897668816
2,3-dihydroxybutanoic acid NIST	0.085561813	0.388733511	0.56588519	0.989971069	0.652764067	0.319546498	0.703768376	0.081539534	0.201647247	0.870934244	0.712725322	0.806064279	0.457658696
1-monopalmitin	0.867853362	0.114910634	0.843224804	0.768419796	0.796309933	0.988426069	0.512329303	0.124931357	0.125973847	0.62598287	0.088076512	0.510382796	0.822115322
1-monoolein	0.874128525	0.099481657	0.996978226	0.78586313	0.318623997	0.063687026	0.976629764	0.411648975	0.130663218	0.532412725	0.186454231	0.426935138	0.685763703
1-methylgalactose NIST	0.581157841	0.54143701	0.453518855	0.970813578	0.170948504	0.768714356	0.408108108	0.387309714	0.959840423	0.121017503	0.19500335	0.387475116	0.058772017
1-methyladenosine	0.89624823	0.839064236	0.884127845	0.366872124	0.335588941	0.523036785	0.915239453	0.321759217	0.236824891	0.938042563	0.744617951	0.221972673	0.310253029
1,2-cyclohexanedione	0.820509841	0.018268507	0.157826854	0.741402446	0.976698768	0.86814488	0.808286372	0.033406077	0.284147801	0.12372554	0.34728813	0.331260281	0.036941059
203805	0.566105762	0.179188008	0.74344458	0.193437735	0.613049093	0.785046449	0.19227685	0.015300168	0.58606564	0.160428688	0.71445258	0.689498445	0.773422661
203801	0.460964226	0.060857441	0.854214257	0.16833997	0.035070981	0.600686712	0.210164454	0.133213255	0.288371536	0.981739659	0.617550319	0.667315868	0.451083319
199109	0.974415819	0.021068514	0.365488043	0.597161636	0.862504547	0.31943258	0.02277586	0.77704891	0.390741635	0.486239138	0.901158548	0.107909817	0.416237619
192876	0.736133573	0.73478411	0.670169761	0.901444246	0.44013731	0.001273371	0.039250787	0.253827366	0.69849379	0.429263871	0.647493358	0.520279906	0.717717666
192874	0.844154982	0.355888081	0.277697794	0.917586905	0.441590701	0.51955754	0.710647189	0.530333142	0.624476209	0.026163668	0.036422959	0.395263413	0.37031952
191801	0.892890831	0.445681433	0.650942804	0.659329873	0.209183415	0.680841006	0.775731695	0.808025371	0.635991949	0.681346266	0.083085477	0.532394277	0.790657345
191799	0.337665415	0.307162592	0.749997504	0.673460463	0.764256692	0.418484316	0.473238821	0.164669863	0.630416098	0.137496399	0.566290189	0.611549107	0.485160047
191798	0.835695952	0.618286163	0.374623952	0.012539364	0.672855441	0.397074491	0.234842443	0.106841819	0.984166307	0.541509394	0.607326691	0.009552239	0.028072443
189382	0.397782505	0.066828344	0.821569425	0.354763851	0.104554832	0.436869033	0.547680258	0.437009258	0.495132301	0.368032412	0.856437903	0.818176217	0.342268437
189321	0.24442865	0.055131607	0.828975292	0.375964093	0.815845151	0.521976792	0.093992736	0.601556547	0.676581889	0.469907677	0.061777952	0.245781529	0.913815144
188569	0.320140844	0.321536658	0.928533176	0.45939607	0.639984028	0.323339071	0.208230181	0.09707885	0.946629016	0.711060634	0.660330614	0.982675806	0.181429613
187854	0.787578933	0.11931636	0.060310745	0.016766164	0.804563286	0.25611503	0.350635444	0.351443236	0.328175617	0.126060576	0.238427215	0.910732651	0.102673629
183433	0.991011154	0.595396515	0.608690351	0.29128166	0.503761443	0.080709863	0.215879515	0.968477809	0.081607514	0.110468881	0.006811161	0.441373095	0.555719459
183216	0.29205838	0.04933747	0.026241162	0.330274557	0.521771516	0.058650977	0.918759206	0.844903776	0.32062495	0.555121788	0.284454643	0.978850596	0.180936374
183184	0.242908522	0.292682064	0.240741953	0.909820375	0.450231782	0.659399096	0.0509451	0.909450418	0.630817079	0.909883071	0.256872048	0.280881173	0.127278758
183139	0.110929689	0.244920808	0.911734854	0.369173931	0.92246459	0.07307755	0.580532781	0.080320698	0.031529496	0.233091194	0.459209424	0.194672222	0.497467758
183106	0.319326694	0.194191627	0.649494658	0.817037111	0.171723176	0.172354766	0.828555405	0.321282333	0.245232599	0.57604635	0.680365431	0.625135027	0.30777827
183055	0.977702662	0.552836865	0.022646621	0.93825077	0.869790777	0.830390676	0.272906057	0.470011971	0.756043761	0.479677664	0.249677364	0.762492649	0.945802843
171564	0.684000913	0.199548117	0.89098071	0.350405	0.585444192	0.914958258	0.691737003	0.403080945	0.759167402	0.888634994	0.717616118	0.045019471	0.101517351
171305	0.041199978	0.928448383	0.033796477	0.353535124	0.635327051	0.591618547	0.445557318	0.923130644	0.389889088	0.419119238	0.856487084	0.005491648	0.934311787
171303	0.634721693	0.539396937	0.116919509	0.268462593	0.574062586	0.665742128	0.617944119	0.12078341	0.496793529	0.597661275	0.522767959	0.816572319	0.876312706
170512	0.77564695	0.609963646	0.107554776	0.317216246	0.825909156	0.375974348	0.131223765	0.827775673	0.998678762	0.225112832	0.154851441	0.408490291	0.40751074
170232	0.783290839	0.122797319	0.614445261	0.856364854	0.476650565	0.497178021	0.889528699	0.420409712	0.475342212	0.811035193	0.924436337	0.283808013	0.873538541
170131	0.551203488	0.388316098	0.693340985	0.120702709	0.669458942	0.735930969	0.546408101	0.82482247	0.384819027	0.244605573	0.689929436	0.915828252	0.656981256
170105	0.031862894	0.02121264	0.335060695	0.380814181	0.50857692	0.549515924	0.3768888	0.461343096	0.116949719	0.884690622	0.384597801	0.494305349	0.079565242
170069	0.954391063	0.329784461	0.789065695	0.132290895	0.70153812	0.870859711	0.323964711	0.653621965	0.697572356	0.181111	0.945312512	0.589035768	0.735068066
167348	0.451643597	0.756267269	0.874558609	0.246860058	0.088989832	0.097539954	0.840432735	0.940317125	0.17634411	0.669688406	0.709774993	0.236972371	0.648184519
161878	0.614235808	0.793288758	0.495606701	0.170560558	0.718158426	0.991229114	0.882776513	0.91746373	0.706323741	0.505517472	0.708080527	0.146621905	0.791960861
161875	0.579433579	0.221478472	0.820419706	0.941156375	0.090808758	0.102541639	0.096371702	0.385493053	0.761732141	0.593305296	0.640737181	0.01263627	0.477056317
161843	0.006991611	0.024471057	0.378388502	0.474779046	0.802984948	0.439044874	0.518020782	0.419466472	0.291351862	0.417786071	0.476781501	0.684539088	0.600932396
161398	0.828924757	0.716252918	0.484445174	0.513953164	0.711547583	0.576020381	0.683687461	0.783342444	0.41571843	0.054278287	0.160856065	0.742738817	0.575343136
161381	0.340997059	0.704664576	0.556211513	0.948691495	0.170562183	0.641152709	0.921330776	0.788114839	0.945979471	0.404365419	0.999183509	0.93600805	0.174543076
161341	0.642134257	0.104726951	0.244998556	0.489418051	0.37911177	0.74879023	0.882610301	0.46774163	0.78320815	0.919320276	0.916943345	0.647791856	0.838885451
135619	0.984902624	0.784232252	0.232672115	0.513683057	0.783895546	0.616916331	0.465466388	0.512013097	0.133680696	0.72991003	0.683293476	0.501908879	0.670020363
135260	0.714510809	0.004108642	0.799210056	0.415921904	0.196176973	0.902957379	0.110438519	0.347221602	0.50330512	0.490448379	0.539763039	0.656968584	0.103969921
134336	0.050654406	0.404813051	0.627189909	0.512358667	0.628942842	0.178093854	0.635973843	0.234761704	0.924137905	0.315571384	0.28226153	0.628776674	0.475319114
133923	0.247807889	0.163073343	0.159111154	0.660287547	0.608990286	0.346316057	0.982989101	0.456722834	0.202585667	0.375611986	0.126261148	0.05173802	0.409345405
133605	0.86813896	0.294115649	0.022682833	0.320968029	0.816735645	0.044550874	0.560760417	0.281547693	0.623603398	0.90034866	0.168957305	0.432982274	0.474475156
133434	0.696170941	0.454843419	0.018684601	0.688446755	0.763577705	0.101358621	0.609811885	0.404533676	0.726022319	0.685312444	0.562926621	0.814119135	0.116757544
133242	0.396480281	0.366118151	0.302226438	0.27913473	0.128603395	0.482324752	0.28157913	0.878238092	0.256878786	0.780156506	0.680980479	0.240242025	0.000128543
133026	0.992714491	0.679868686	0.095997254	0.901007886	0.794391525	0.45265062	0.659426901	0.854727525	0.08827605	0.931096142	0.339744437	0.186891052	0.572211229
132976	0.885373129	0.932788485	0.965725203	0.071995286	0.666802083	0.243324933	0.739735425	0.855977172	0.949263828	0.617180295	0.350635213	0.637232227	0.133673062
132105	0.007002923	0.24593324	0.152623715	0.468494473	0.875517006	0.500366763	0.936888374	0.485842903	0.731014236	0.22655572	0.52606263	0.512017347	0.198833682
131960	0.436160754	0.700881829	0.384205472	0.180066018	0.340445839	0.807557565	0.207179359	0.253169892	0.28548303	0.485796185	0.272006554	0.023333329	0.137431428
131620	0.991842375	0.612285348	0.132897389	0.662781568	0.109765651	0.382257679	0.782451174	0.940584644	0.801442243	0.658784513	0.101867663	0.109844713	0.797021925
131582	0.535456099	0.652541612	0.528856109	0.085817299	0.284592533	0.105052186	0.261392124	0.506493081	0.897007972	0.793625037	0.189320874	0.602577866	0.988792946
129059	0.241999311	0.868535515	0.371162249	0.209960082	0.604020538	0.488178193	0.569086346	0.728684518	0.910681673	0.514615283	0.757514771	0.630890243	0.885619703
127640	0.29222884	0.553643082	0.743187726	0.02509259	0.858088852	0.241780462	0.592691671	0.220283387	0.26817931	0.885639141	0.656249651	0.766031016	0.356481535
127451	0.517296823	0.752708837	0.741649176	0.980087862	0.867022104	0.846086275	0.261996859	0.039039398	0.772890253	0.404207608	0.279271808	0.17783017	0.533189751
126465	0.797927475	0.480360404	0.020122826	0.374941092	0.456734714	0.059575952	0.291363537	0.498063779	0.847074514	0.282197501	0.328507946	0.489194063	0.346360113
126423	0.976170048	0.860489975	0.552951397	0.127731185	0.452915606	0.732671989	0.628583112	0.215963414	0.073079752	0.877063221	0.038691757	0.38751634	0.697295667
126350	0.370090972	0.756707126	0.967152665	0.191005073	0.836174114	0.967636656	0.256383404	0.53822515	0.635756124	0.486920231	0.226256975	0.27663396	0.527348861
125960	0.189709805	0.562567141	0.559033354	0.033410218	0.075552772	0.304117411	0.557532654	0.073410178	0.110965935	0.17100445	0.459884929	0.456741884	0.859447732
125802	0.230510275	0.015541996	0.593849027	0.351484041	0.240108189	0.069401024	0.666615407	0.413389216	0.249973564	0.265231253	0.745488646	0.337120621	0.887832121
125452	0.000475124	0.812285467	0.324872291	0.853827749	0.063107945	0.022243241	0.077275441	0.944284242	0.688298677	0.487204218	0.906783407	0.863304853	0.521854213
124996	0.62604978	0.174411012	0.194380055	0.601242483	0.611404819	0.272989323	0.436130223	0.197655957	0.437193965	0.46808243	0.415222274	0.615099879	0.918569761
124903	0.881165653	0.347332444	0.43545508	0.659070808	0.298536473	0.68973071	0.139468932	0.104603914	0.39854147	0.266414719	0.305684587	0.923183869	0.583321234
124490	0.197963083	0.330151775	0.637167174	0.327232217	0.376859608	0.724340241	0.259239233	0.889332383	0.155962723	0.43545983	0.886942349	0.244439592	0.18052217
124454	0.05874604	0.971316198	0.883295815	0.754961528	0.194390529	0.571267252	0.657682867	0.483486005	0.643952335	0.348008327	0.716567837	0.794677237	0.736783334
124353	0.331156698	0.681290591	0.948979998	0.428612529	0.478254831	0.567869535	0.549677271	0.201482889	0.078053983	0.870261287	0.209557011	0.826238023	0.557830652
123989	0.632458999	0.457403886	0.445133276	0.731526795	0.534631504	0.42655643	0.881214148	0.597578494	0.823734178	0.485192593	0.559465502	0.585450358	0.378240645
122191	0.301157463	0.689820935	0.736303571	0.913393176	0.66358856	0.883211795	0.901739573	0.000297903	0.078013198	0.834685301	0.858627518	0.759724814	0.894015569
122151	0.746106325	0.448477957	0.39217723	0.41968903	0.865503445	0.863350271	0.274132216	0.45249702	0.512406883	0.282620437	0.582469201	0.259019174	0.53742563
121890	0.636012287	0.736552802	0.243946672	0.957374258	0.956332292	0.062619702	0.84712096	0.198160369	0.4257142	0.452699624	0.047964984	0.401365835	0.209452326
121402	0.001883993	0.111204078	0.528214899	0.870409992	0.209762823	0.245072761	0.92292764	0.642588864	0.889163882	0.63879276	0.343352532	0.74729854	0.255292571
121384	0.850920947	0.604885663	0.576375502	0.849236431	0.228006722	0.750490911	0.489413091	0.812409751	0.572609907	0.563519366	0.432633937	0.990586992	0.416546137
121002	0.376421499	0.833733007	0.971656246	0.240573881	0.475698702	0.539797175	0.681540681	0.369870094	0.921993011	0.456516999	0.024714746	0.246715791	0.037788099
120582	0.207234275	0.305705624	0.363338769	0.783275765	0.263031989	0.930416619	0.306774955	0.812281899	0.712233657	0.423071954	0.422106485	0.944920473	0.274529299
120562	0.008681349	0.19289771	0.996348005	0.807768233	0.417210228	0.212711724	0.874082079	0.496476313	0.222263788	0.523258912	0.206455358	0.86337534	0.458453549
120526	0.991753794	0.247928378	0.547256019	0.874391035	0.938687877	0.580679277	0.275979267	0.256775169	0.326533034	0.463831701	0.282166846	0.547926743	0.219209528
119167	0.04207612	0.009586662	0.009788037	0.079764408	0.869239501	0.792111298	0.296348174	0.170764609	0.336335456	0.986945652	0.098044492	0.835613102	0.913426941
119129	0.704114177	0.416000598	0.475004866	0.221920446	0.176940146	0.754951821	0.158907704	0.296720338	0.586122475	0.981799579	0.430940429	0.771195192	0.949483463
119054	0.936987145	0.610974197	0.763936915	0.726455811	0.395787256	0.305922336	0.217725739	0.356274568	0.003666414	0.520234874	0.691426245	0.964402291	0.112504824
119026	0.449113195	0.134561596	0.092312117	0.180751091	0.852816825	0.436105532	0.852809561	0.410135136	0.737597817	0.96150189	0.576718249	0.451084448	0.621080982
119023	0.974213293	0.483140081	0.999804263	0.638753291	0.756889375	0.493361673	0.882255951	0.418763459	0.962638557	0.844088461	0.623703657	0.348364501	0.763611951
117195	0.539430003	0.924592401	0.106141098	0.98273335	0.336765548	0.959935576	0.541906767	0.955602316	0.551128741	0.030746189	0.379529342	0.064638401	0.121764549
117043	0.269505529	0.989829241	0.927610826	0.42360077	0.911448186	0.362510871	0.914708588	0.712429971	0.012699639	0.210307077	0.470475977	0.569914892	0.056898498
117024	0.255758849	0.802460735	0.512830067	0.484812906	0.569135889	0.115443109	0.392908334	0.112953153	0.037036319	0.74787717	0.325817338	0.363636039	0.354311971
113510	0.679214492	0.063811961	0.586637611	0.302972763	0.706867277	0.218166278	0.289246855	0.336701354	0.65418956	0.64756934	0.241473529	0.881784511	0.228988556
112556	0.919311573	0.215398692	0.412950642	0.876890386	0.872821374	0.330001599	0.993974083	0.459000551	0.076719114	0.683456872	0.257762286	0.72337473	0.523270958
112487	0.872263341	0.439323396	0.801971396	0.313674537	0.639404459	0.582847079	0.088904413	0.267368202	0.83366505	0.789148138	0.913528484	0.190170883	0.608400239
111821	0.224365939	0.176763362	0.773594592	0.028324989	0.134435779	0.617231337	0.294578818	0.409707533	0.901786434	0.973970711	0.54209597	0.440224321	0.618271047
110889	0.098211642	0.760412881	0.195238699	0.181437882	0.616986326	0.354024867	0.01084583	0.464163048	0.822026819	0.725595719	0.46759622	0.099046004	0.534180505
110647	0.428107746	0.136633681	0.073513114	0.66532925	0.844859604	0.723351251	0.988738199	0.545823689	0.602344764	0.489850215	0.982682737	0.545830928	0.483686741
110612	0.416069978	0.096003248	0.998482204	0.820350898	0.813708263	0.638374357	0.165287582	0.400773384	0.157677632	0.337763985	0.288739423	0.349987538	0.421726558
110570	0.360945874	0.694363956	0.068202177	0.903301693	0.979424113	0.73508105	0.822726875	0.027914491	0.956071097	0.42174708	0.534424053	0.004791302	0.169169375
110501	0.446190745	0.390847494	0.254455007	0.761725256	0.414897424	0.775788244	0.472061346	0.234634479	0.726395753	0.37689608	0.665276038	0.415543982	0.551845311
110183	0.986555797	0.339758427	0.808067378	0.92070701	0.375950325	0.706148748	0.850891205	0.102966194	0.23963086	0.089524344	0.60681106	0.837048108	0.369184451
110182	0.9174926	0.639820902	0.074439116	0.413388182	0.438397738	0.748862267	0.662843835	0.21019343	0.570609435	0.064561055	0.99022447	0.815645027	0.86901707
110170	0.512112349	0.234014225	0.023736672	0.706997948	0.118263093	0.381360665	0.41811837	0.802654982	0.372814149	0.101353067	0.507894406	0.874230596	0.701502408
110013	0.052666082	0.696202649	0.310600671	0.0334624	0.095710483	0.254084145	0.723966552	0.518406108	0.86231594	0.743958794	0.996107807	0.113180276	0.735793884
110008	0.704071827	0.693493515	0.334886654	0.00578975	0.294935952	0.951293357	0.585875548	0.624484983	0.453090231	0.980647271	0.15327753	0.501182985	0.86969061
109625	0.262648845	0.193570035	0.081810641	0.554044138	0.212637889	0.66777508	0.849483069	0.382534444	0.55459181	0.217045492	0.107483761	0.328271891	0.443116785
109397	0.302287967	0.853868637	0.962742978	0.621148922	0.399810683	0.711540752	0.702765282	0.370838007	0.047877244	0.695044462	0.558063757	0.967683378	0.180378619
109386	0.082306759	0.208737568	0.288630486	0.181669246	0.201746529	0.463621532	0.827876647	0.261985938	0.172106858	0.237246264	0.429177139	0.041926655	0.790527443
109383	0.052070006	0.455139064	0.461623661	0.641897777	0.461852202	0.077190912	0.484272555	0.911628784	0.270041626	0.795369261	0.709000066	0.585167208	0.092431115
107960	0.318755862	0.507243519	0.215296622	0.821093357	0.84511795	0.164271718	0.515872401	0.538473459	0.73534692	0.880323952	0.383951506	0.442390502	0.506613023
107890	0.639548537	0.334907413	0.131403759	0.311161371	0.800671305	0.595331569	0.861970938	0.277402627	0.398149019	0.702262262	0.314135054	0.291650607	0.953231599
107882	0.160546045	0.680476782	0.653809928	0.986558681	0.44109216	0.142168636	0.210406797	0.230914568	0.572716749	0.41556908	0.43714647	0.32607716	0.311643064
107466	0.770018675	0.022103407	0.565357154	0.099630549	0.765595094	0.262720701	0.274807911	0.56521443	0.985655321	0.504840096	0.254059207	0.139880163	0.526832379
106936	0.080549181	0.840888654	0.71990532	0.837657626	0.105815656	0.834226539	0.697652471	0.098837766	0.563801366	0.4854538	0.785314827	0.3265085	0.620254994
106900	0.214401438	0.554752511	0.033733308	0.792019536	0.8879781	0.158961275	0.011522389	0.056932859	0.473481525	0.861905206	0.781898464	0.094330042	0.520933075
106629	0.123259975	0.046091925	0.648915201	0.953451842	0.967353835	0.030004657	0.379082033	0.0502367	0.552384959	0.604107719	0.284994038	0.160698024	0.7280104
106482	0.128829799	0.833817536	0.690077928	0.677961584	0.964617248	0.280739688	0.71921104	0.784087295	0.282572991	0.798780247	0.591423699	0.769787183	0.256625284
106344	0.231963234	0.818151742	0.470112108	0.47996012	0.863364819	0.089036924	0.584758242	0.336001299	0.654847002	0.758353054	0.087687958	0.244972805	0.396366474
105379	0.046224667	0.942769985	0.996773471	0.048207893	0.541769233	0.127725313	0.417823512	0.903013044	0.231972632	0.726026152	0.626529018	0.488651263	0.082303486
104362	0.236035003	0.826373724	0.78280801	0.603795091	0.060997972	0.498624387	0.296949207	0.40175603	0.700319155	0.553330636	0.158113992	0.429983911	0.634461064
103886	0.559739994	0.579401262	0.340371961	0.904572258	0.950751927	0.269319746	0.541679096	0.233482324	0.648212828	0.744001459	0.340549163	0.648460455	0.024337933
103837	0.080468318	0.335000469	0.802279401	0.831808128	0.842172936	0.695823992	0.342237532	0.672017475	0.288064043	0.507279364	0.496479897	0.849461912	0.325188928
103102	0.619765245	0.826241297	0.044092572	0.062168451	0.311449763	0.989718299	0.141837116	0.013727022	0.855542441	0.727948734	0.902610247	0.530752665	0.207980116
102733	0.250308432	0.342439599	0.106278263	0.104850463	0.435202742	0.230824991	0.138845854	0.393655915	0.510753104	0.902975516	0.033108655	0.58665147	0.440538961
102624	0.370890447	0.661960416	0.50364647	0.300515956	0.099605073	0.313718178	0.474252636	0.069695022	0.024051943	0.630281498	0.45396088	0.873808253	0.998250929
102601	0.936997564	0.485101503	0.338965191	0.809894708	0.907434458	0.129096942	0.776548203	0.987962322	0.165367404	0.392802464	0.896918483	0.666152239	0.168834116
101299	0.240340345	0.853142468	0.798847247	0.378185095	0.339330437	0.328382669	0.599965563	0.16131984	0.542254407	0.731306542	0.277362741	0.198894145	0.163436399
100912	0.529790802	0.014768458	0.55470907	0.735349855	0.835483649	0.330199717	0.682938381	0.186056361	0.517078025	0.295907854	0.968721074	0.323699755	0.92005196
100876	0.860802395	0.070599867	0.781694561	0.407090886	0.468742718	0.912279241	0.916089481	0.590627517	0.911865568	0.440745718	0.722074937	0.122489828	0.822655781
99868	0.254884819	0.16563759	0.830301355	0.968663488	0.515092794	0.564996022	0.741288008	0.754479779	0.291995162	0.681714157	0.18563297	0.55875466	0.993077994
98027	0.071397753	0.105253485	0.198117737	0.446529616	0.311041956	0.522946919	0.663467701	0.667227011	0.965836324	0.31402966	0.130537132	0.428441634	0.855616115
97455	0.007140975	0.007919604	0.948362693	0.591920183	0.962001467	0.428258509	0.770153463	0.200711064	0.866478804	0.376139094	0.404380268	0.907459514	0.284174558
95440	0.99539119	0.384878281	0.705355151	0.215199123	0.921994535	0.604133061	0.585605722	0.957370576	0.751445223	0.033051689	0.343907212	0.574786178	0.313744373
95438	0.639623799	0.383868119	0.349564908	0.296056252	0.218998128	0.528081794	0.979345497	0.883567769	0.336800257	0.073511906	0.826874578	0.064476951	0.448161878
91421	0.433193157	0.74947753	0.198892718	0.841937914	0.250741674	0.233293958	0.000931866	0.954678113	0.926483711	0.977224358	0.558030065	0.532714012	0.607026718
87808	0.424637998	0.225786431	0.467650697	0.877049772	0.709437524	0.680666034	0.583445266	0.175181276	0.570225446	0.334360495	0.7465129	0.413642786	0.785369319
87713	0.525677025	0.540756125	0.337865563	0.201386021	0.478486442	0.187993593	0.876779813	0.282440632	0.618589825	0.903532391	0.056952796	0.128996451	0.191593192
87710	0.771493234	0.674976909	0.545048619	0.451612436	0.358036282	0.165870228	0.248912751	0.586089845	0.222993251	0.773404522	0.157485995	0.162486167	0.501447896
87284	0.025316958	0.298311654	0.523468419	0.473509324	0.475847743	0.036931685	0.201316406	0.371599504	0.826706465	0.847406132	0.616630592	0.89940329	0.752130027
85199	0.570160388	0.651828947	0.718652459	0.714897938	0.527119238	0.854072859	0.612509455	0.389624636	0.00558571	0.769414485	0.625846232	0.019843009	0.210924624
84682	0.949160154	0.123043227	0.231594712	0.573361526	0.406747303	0.937130046	0.414689052	0.010310549	0.56479946	0.653476283	0.819767694	0.878753954	0.262305614
84390	0.091104669	0.067559797	0.11033411	0.50366099	0.697836052	0.370214669	0.88704756	0.593397682	0.036332679	0.121007831	0.634931766	0.242511065	0.600779326
84209	0.796378793	0.936445794	0.979031569	0.154252783	0.734919631	0.664594773	0.037879825	0.648791944	0.905353747	0.718853971	0.985050307	0.350358942	0.003916008
84116	0.997563498	0.156803037	0.750914386	0.025322218	0.382864862	0.55734375	0.855332037	0.833552199	0.945240497	0.059828047	0.554965886	0.682309235	0.609421337
84088	0.389915073	0.376369637	0.672801726	0.229751846	0.750644847	0.008486808	0.939337938	0.679546655	0.469213731	0.125405963	0.41267302	0.854698132	0.424880004
66261	0.573773059	0.731123599	0.447636533	0.754011257	0.081731589	0.586914611	0.801776019	0.058984474	0.443208791	0.152788732	0.018080215	0.880170816	0.307295314
66256	0.878268891	0.795849349	0.927488594	0.469377558	0.70764774	0.252007735	0.418519186	0.079708079	0.62804687	0.794465798	0.285836252	0.848856483	0.528864937
64546	0.610384782	0.840195651	0.306034002	0.984854649	0.664629172	0.901389692	0.34692981	0.078682216	0.671360767	0.224198629	0.936440544	0.827906405	0.059117246
54642	0.232718641	0.434439089	0.399245199	0.322483584	0.956436023	0.504722301	0.682228532	0.715906775	0.374280417	0.811744386	0.44374759	0.869106247	0.666357425
53748	0.521283054	0.405678697	0.750423007	0.889597014	0.761859917	0.280687803	0.43149277	0.45334488	0.876268863	0.871905558	0.676749169	0.413570327	0.099135717
50367	0.501614298	0.311096321	0.898018035	0.105241059	0.932243698	0.538837184	0.037074566	0.755543803	0.919402949	0.21720361	0.737139715	0.220865343	0.372342468
49426	0.456556484	0.229277093	0.524591998	0.330035417	0.174937805	0.501093135	0.173807504	0.386692958	0.726600941	0.517791654	0.535972297	0.875702816	0.290446221
48419	0.609690962	0.481868394	0.395506006	0.593681568	0.03146431	0.735776621	0.786935453	0.377367625	0.553497423	0.146912704	0.937420015	0.552134758	0.507987981
46346	0.432533274	0.44231202	0.740940847	0.960070566	0.031440879	0.841464556	0.687005531	0.257807466	0.602611071	0.303611433	0.479048477	0.048283192	0.717995972
46292	0.207687643	0.407550358	0.987452359	0.32954822	0.167184993	0.293590888	0.487762624	0.634859082	0.367936603	0.100921427	0.577414269	0.319611254	0.091334671
46131	0.555020061	0.904137034	0.1889373	0.276738853	0.126822388	0.064181887	0.594984944	0.359753985	0.927346991	0.648275854	0.059197522	0.369622713	0.944099316
46128	0.119579537	0.720936027	0.015135788	0.943843462	0.66491562	0.51466312	0.474013585	0.379040044	0.441560811	0.123039268	0.109700624	0.365795562	0.461840393
45378	0.30598669	0.021774388	0.854675237	0.932095489	0.447035337	0.462582672	0.566468997	0.803415832	0.565889557	0.883441683	0.58555127	0.333598821	0.938548871
43100	0.44707082	0.005447483	0.337468687	0.060605646	0.361205078	0.550727578	0.854098161	0.770628879	0.870141577	0.411922756	0.207731183	0.367773021	0.623662438
42003	0.15910088	0.886950642	0.76444489	0.584657121	0.481246884	0.603641054	0.757887935	0.853158441	0.167005939	0.404619378	0.977118946	0.687854253	0.272168511
41989	0.089987391	0.541401292	0.290957176	0.807968308	0.623447006	0.008609515	0.139367149	0.986281946	0.801209709	0.876216625	0.285137208	0.930021041	0.732381196
41811	0.059923586	0.357414193	0.626317811	0.629936767	0.8552984	0.267670665	0.353029811	0.618581895	0.946228972	0.578295434	0.21547797	0.447183538	0.809316937
41683	0.131206362	0.241469129	0.389720041	0.866126513	0.045103551	0.769433467	0.030675819	0.497281124	0.769952636	0.306398168	0.733843209	0.955697319	0.79808745
41682	0.091539455	0.430247483	0.369680513	0.850752521	0.107434737	0.227414144	0.837284586	0.316718225	0.820254263	0.692985668	0.657822871	0.608074244	0.108432657
34126	0.179496397	0.232543516	0.933999956	0.908528862	0.962610272	0.174530972	0.457225004	0.917537011	0.141785317	0.287445998	0.871497312	0.998661994	0.009487813
34110	0.502919861	0.148749608	0.604949324	0.491149955	0.514967223	0.435692708	0.643893394	0.141732202	0.756767426	0.085910405	0.02861836	0.659461121	0.157609047
34089	0.130151118	0.509766689	0.288706718	0.708233332	0.944410554	0.578580024	0.807006078	0.005450156	0.101098557	0.933560175	0.507024509	0.965556065	0.877189054
34085	0.335729636	0.257890089	0.624096422	0.282895202	0.880632429	0.939499474	0.823971574	0.284760209	0.970684332	0.237848437	0.154869864	0.531901108	0.627748529
34028	0.666246065	0.514449109	0.33872133	0.244639931	0.199955892	0.095458835	0.954427523	0.154982041	0.079003682	0.559734005	0.748651064	0.378589097	0.737975071
33997	0.538329894	0.752093251	0.097502596	0.805734438	0.406847643	0.822039189	0.023744948	0.966485958	0.249588269	0.27640043	0.922087753	0.111288896	0.655516906
